Headquarters Location ,Operating Status,Founded Date,Number of Founders,Success,Founder
 California,1,2003,4,1,0
 California,1,2003,4,1,1
 California,1,2004,5,1,1
 California,1,2006,2,1,1
 New York,1,2013,3,1,1
 New York,1,2013,3,1,1
 New York,1,2013,3,1,1
 California,1,2010,2,1,1
 California,1,2010,2,1,1
 California,1,1999,2,1,1
 California,1,1999,2,1,0
 California,1,1999,2,1,1
 China,1,1999,2,1,1
 China,1,1999,2,1,1
 China,1,1999,2,1,0
 California,1,2008,1,1,1
 California,1,2014,3,1,0
 California,1,2014,3,1,0
 New York,1,2014,1,1,1
 New York,1,2016,1,0,1
 Massachusetts,1,2000,1,1,1
 Nevada,1,2013,5,0,1
 Nevada,1,2013,5,0,1
 Nevada,1,2013,5,0,0
 Nevada,1,2013,5,0,1
 New York,1,2013,1,0,1
 California,1,1997,3,1,1
 California,1,2010,3,1,1
 New York,1,2014,1,0,1
 California,1,2011,4,1,1
 California,1,2011,4,0,1
 California,1,2011,4,1,1
 California,1,2011,4,1,1
 California,1,2009,4,1,1
 California,1,2009,4,1,1
 California,1,2009,4,1,1
 California,1,2009,4,1,1
 California,1,2007,2,1,1
 California,1,2010,2,1,1
 California,1,2010,2,1,1
 New York,1,2013,4,1,1
 New York,1,2013,4,1,1
 New York,1,2013,4,1,1
 California,1,0,4,0,0
 Illinois,1,2015,1,1,1
 Michigan,1,2012,4,0,1
 Michigan,1,2012,4,0,1
 Michigan,1,2012,4,0,1
 California,1,2008,3,1,1
 California,1,2008,3,1,1
 California,1,2008,3,1,1
 Canada,1,2008,3,0,1
 Canada,1,2008,3,1,1
 United Kingdom,1,2016,1,0,1
 California,1,2016,2,0,1
 California,1,2016,2,0,1
 California,1,2005,2,1,1
 California,1,2005,2,1,1
 California,1,2005,2,1,1
 California,1,2007,3,1,1
 California,1,2007,3,1,1
 New York,1,2014,2,0,1
 New York,1,2014,2,0,1
 India,1,2010,2,1,1
 India,1,2010,2,1,1
 California,1,2011,3,1,1
 California,1,2009,2,1,0
 California,1,2010,3,1,1
 California,1,2010,3,1,1
 New York,0,2015,2,1,1
 New York,0,2015,2,1,1
 Illinois,1,2012,2,0,0
 California,1,2016,1,0,1
 California,1,2013,2,0,1
 California,1,2014,4,1,1
 New York,1,2011,3,1,1
 California,1,2014,4,1,1
 New York,1,2011,3,1,1
 California,1,2014,4,1,1
 New York,1,2011,3,1,1
 California,1,2014,4,1,1
 New York,1,2011,3,1,1
 California,1,2013,2,0,1
 New York,1,2010,2,0,1
 United Kingdom,1,2010,2,1,1
 United Kingdom,1,2010,2,1,1
 California,1,2007,3,1,1
 California,1,2007,3,1,1
 California,1,2009,2,1,1
 California,1,2009,2,1,1
 California,1,1993,2,1,1
 California,1,1993,2,1,1
 California,1,2010,2,1,1
 California,1,2010,2,1,1
 California,1,2015,3,0,1
 California,1,2015,3,0,1
 California,1,2015,3,0,1
 California,1,2013,1,1,0
 Israel,1,2014,3,0,1
 Israel,1,2014,3,0,1
 Israel,1,2014,3,0,1
 California,1,2007,4,1,1
 California,1,2007,4,1,1
 California,1,2007,4,1,1
 California,1,2013,2,1,1
